course_id,course_name,chapter,total_lessons,lessons,total_complete,valid_from,valid_to
1539942,dbt Fundamentals,1: Welcome to dbt Fundamentals,61,2,2,2000-01-01,9999-12-31
1539942,dbt Fundamentals,2: Who is an analytics engineer,61,7,9,2000-01-01,9999-12-31
1539942,dbt Fundamentals,3: Set up dbt Cloud,61,8,17,2000-01-01,9999-12-31
1539942,dbt Fundamentals,4: Models,61,11,28,2000-01-01,9999-12-31
1539942,dbt Fundamentals,5: Sources,61,7,35,2000-01-01,9999-12-31
1539942,dbt Fundamentals,6: Tests,61,9,44,2000-01-01,9999-12-31
1539942,dbt Fundamentals,7: Documentation,61,8,52,2000-01-01,9999-12-31
1539942,dbt Fundamentals,8: Deployment,61,5,57,2000-01-01,9999-12-31
1539942,dbt Fundamentals,"9: Quiz, Survey, and Next Steps",61,4,61,2000-01-01,9999-12-31
1374716,Rapid Onboarding,Session 1,69,18,18,2000-01-01,9999-12-31
1374716,Rapid Onboarding,Session 2,69,8,26,2000-01-01,9999-12-31
1374716,Rapid Onboarding,Session 3,69,13,39,2000-01-01,9999-12-31
1374716,Rapid Onboarding,Session 4,69,10,49,2000-01-01,9999-12-31
1374716,Rapid Onboarding,Session 5,69,8,57,2000-01-01,9999-12-31
1374716,Rapid Onboarding,Session 6,69,9,66,2000-01-01,9999-12-31
1374716,Rapid Onboarding,Session 1,72,18,18,2023-04-01,9999-12-31
1374716,Rapid Onboarding,Session 2,72,9,27,2023-04-01,9999-12-31
1374716,Rapid Onboarding,Session 3,72,15,42,2023-04-01,9999-12-31
1374716,Rapid Onboarding,Session 4,72,10,52,2023-04-01,9999-12-31
1374716,Rapid Onboarding,Additional Topics,69,20,72,2023-04-01,9999-12-31
1374716,Rapid Onboarding,dbt Fundamentals Badge,69,3,69,2000-01-01,9999-12-31
1531277,Refactoring SQL for Modularity,Introduction (1),23,3,3,2000-01-01,9999-12-31
1531277,Refactoring SQL for Modularity,Part 1: Learn the refactoring process (2),23,8,11,2000-01-01,9999-12-31
1531277,Refactoring SQL for Modularity,Setting up your Environment (3),23,3,14,2000-01-01,9999-12-31
1531277,Refactoring SQL for Modularity,Part 2: Practice refactoring (4),23,9,23,2000-01-01,9999-12-31
1641567,"Jinja, Macros, Packages","1: Welcome to dbt Learn, Jinja, Macros, and Packages",34,2,2,2000-01-01,9999-12-31
1641567,"Jinja, Macros, Packages",2: Jinja,34,7,9,2000-01-01,9999-12-31
1641567,"Jinja, Macros, Packages",3: Macros,34,8,17,2000-01-01,9999-12-31
1641567,"Jinja, Macros, Packages",4: Packages,34,8,25,2000-01-01,9999-12-31
1641567,"Jinja, Macros, Packages",5: Advanced Jinja + Macros,34,7,32,2000-01-01,9999-12-31
1641567,"Jinja, Macros, Packages",6: Survey,34,2,34,2000-01-01,9999-12-31
1641579,Analyses and Seeds,Welcome to dbt Learn Analyses and Seeds,12,2,2,2000-01-01,9999-12-31
1641579,Analyses and Seeds,Analyses and Seeds,12,8,10,2000-01-01,9999-12-31
1641579,Analyses and Seeds,Survey,12,2,12,2000-01-01,9999-12-31
1641573,Advanced Materializations,Welcome to dbt Learn Advanced Materializations,12,2,2,2000-01-01,9999-12-31
1641573,Advanced Materializations,Materializations,12,8,10,2000-01-01,9999-12-31
1641573,Advanced Materializations,Survey,12,2,12,2000-01-01,9999-12-31