date,description
01/01/2018,New Year's Day
01/15/2018,MLK Jr Day
02/19/2018,Presidents Day
05/28/2018,Memorial Day
07/04/2018,Independence Day
09/03/2018,Labor Day
10/8/2018,Indigenous Peoples' Day
11/12/2018,Veterans Day (observed)
11/22/2018,Thanksgiving Day
12/25/2018,Christmas Day
01/01/2019,New Year's Day
01/21/2019,MLK Jr Day
02/18/2019,Presidents Day
05/27/2019,Memorial Day
07/04/2019,Independence Day
09/02/2019,Labor Day
10/14/2019,Indigenous Peoples' Day
11/11/2019,Veterans Day
11/28/2019,Thanksgiving Day
12/25/2019,Christmas Day
01/01/2020,New Year's Day
01/20/2020,MLK Jr Day
02/17/2020,Presidents Day
05/25/2020,Memorial Day
07/03/2020,Independence Day (observed)
09/07/2020,Labor Day
10/12/2020,Indigenous Peoples' Day
11/11/2020,Veterans Day
11/26/2020,Thanksgiving Day
12/25/2020,Christmas Day
01/01/2021,New Year's Day
01/18/2021,MLK Jr Day
02/15/2021,Presidents Day
05/31/2021,Memorial Day
06/18/2021,Juneteenth (observed)
07/05/2021,Independence Day (observed)
09/06/2021,Labor Day
10/11/2021,Indigenous Peoples' Day
11/11/2021,Veterans Day
11/25/2021,Thanksgiving Day
12/24/2021,Christmas Day (observed)
12/31/2021,New Year's Day (observed)
01/17/2022,MLK Jr Day
02/21/2022,Presidents Day
05/30/2022,Memorial Day
06/20/2022,Juneteenth (observed)
07/04/2022,Independence Day
09/05/2022,Labor Day
10/10/2022,Indigenous Peoples' Day
11/24/2022,Thanksgiving Day
11/11/2022,Veterans Day
12/26/2022,Christmas Day (observed)
01/02/2023,New Year's Day (observed)
01/16/2023,MLK Jr Day
02/20/2023,Presidents Day
05/29/2023,Memorial Day
06/19/2023,Juneteenth
07/04/2023,Independence Day
09/04/2023,Labor Day
10/09/2023,Indigenous Peoples' Day
11/10/2023,Veterans Day
11/23/2023,Thanksgiving Day
12/25/2023,Christmas Day
01/01/2024,New Year's Day
01/15/2024,MLK Jr Day
02/19/2024,Presidents Day
05/27/2024,Memorial Day
06/19/2024,Juneteenth
07/04/2024,Independence Day
09/02/2024,Labor Day
10/14/2024,Indigenous Peoples' Day
11/11/2024,Veterans Day
11/28/2024,Thanksgiving Day
12/25/2024,Christmas Day